Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,(case) creator,(case) variant,(case) variant-index,concept:name,defectFixed,defectType,lifecycle:transition,numberRepairs,org:resource,phoneType
120,Inform User,System,1970/01/03 13:46:00.000,1970/01/03 13:46:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Inform User,,,complete,,System,
120,Test Repair,Tester3,1970/01/03 14:13:00.000,1970/01/03 14:21:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Test Repair,true,,complete,0,Tester3,
120,Archive Repair,System,1970/01/03 14:29:00.000,1970/01/03 14:29:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Archive Repair,true,,complete,0,System,
120,End,End,1970/01/03 14:29:00.000,1970/01/03 14:29:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,End,End,End,complete,End,End,End
121,Register,System,1970/01/04 12:35:00.000,1970/01/04 12:35:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Register,,,complete,,System,
121,Analyze Defect,Tester5,1970/01/04 12:35:00.000,1970/01/04 12:42:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Analyze Defect,,7,complete,,Tester5,T3
121,Repair (Complex),SolverC1,1970/01/04 12:56:00.000,1970/01/04 13:10:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Repair (Complex),,,complete,,SolverC1,
121,Test Repair,Tester3,1970/01/04 13:10:00.000,1970/01/04 13:19:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Test Repair,true,,complete,0,Tester3,
121,Inform User,System,1970/01/04 13:30:00.000,1970/01/04 13:30:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Inform User,,,complete,,System,
121,Archive Repair,System,1970/01/04 13:30:00.000,1970/01/04 13:30:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Archive Repair,true,,complete,0,System,
121,End,End,1970/01/04 13:30:00.000,1970/01/04 13:30:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,End,End,End,complete,End,End,End
122,Register,System,1970/01/04 11:27:00.000,1970/01/04 11:27:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Register,,,complete,,System,
122,Analyze Defect,Tester6,1970/01/04 11:27:00.000,1970/01/04 11:34:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Analyze Defect,,2,complete,,Tester6,T1
122,Repair (Simple),SolverS1,1970/01/04 11:50:00.000,1970/01/04 11:55:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Repair (Simple),,,complete,,SolverS1,
122,Test Repair,Tester5,1970/01/04 11:55:00.000,1970/01/04 12:04:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Test Repair,false,,complete,1,Tester5,
122,Inform User,System,1970/01/04 11:56:00.000,1970/01/04 11:56:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Inform User,,,complete,,System,
122,Restart Repair,System,1970/01/04 12:13:00.000,1970/01/04 12:13:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Restart Repair,,,complete,,System,
122,Repair (Simple),SolverS1,1970/01/04 12:13:00.000,1970/01/04 12:19:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Repair (Simple),,,complete,,SolverS1,
122,Test Repair,Tester5,1970/01/04 12:19:00.000,1970/01/04 12:29:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Test Repair,false,,complete,2,Tester5,
122,Restart Repair,System,1970/01/04 12:37:00.000,1970/01/04 12:37:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Restart Repair,,,complete,,System,
122,Repair (Simple),SolverS3,1970/01/04 12:37:00.000,1970/01/04 12:57:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Repair (Simple),,,complete,,SolverS3,
122,Test Repair,Tester1,1970/01/04 12:57:00.000,1970/01/04 13:05:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Test Repair,true,,complete,3,Tester1,
122,Archive Repair,System,1970/01/04 13:14:00.000,1970/01/04 13:14:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Archive Repair,true,,complete,3,System,
122,End,End,1970/01/04 13:14:00.000,1970/01/04 13:14:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,End,End,End,complete,End,End,End
123,Register,System,1970/01/04 13:58:00.000,1970/01/04 13:58:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Register,,,complete,,System,
123,Analyze Defect,Tester5,1970/01/04 13:58:00.000,1970/01/04 14:08:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Analyze Defect,,9,complete,,Tester5,T3
123,Repair (Complex),SolverC3,1970/01/04 14:23:00.000,1970/01/04 15:12:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Repair (Complex),,,complete,,SolverC3,
123,Inform User,System,1970/01/04 14:56:00.000,1970/01/04 14:56:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Inform User,,,complete,,System,
123,Test Repair,Tester3,1970/01/04 15:12:00.000,1970/01/04 15:18:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Test Repair,true,,complete,0,Tester3,
123,Archive Repair,System,1970/01/04 15:24:00.000,1970/01/04 15:24:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Archive Repair,true,,complete,0,System,
123,End,End,1970/01/04 15:24:00.000,1970/01/04 15:24:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,End,End,End,complete,End,End,End
124,Register,System,1970/01/04 22:26:00.000,1970/01/04 22:26:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Register,,,complete,,System,
124,Analyze Defect,Tester6,1970/01/04 22:26:00.000,1970/01/04 22:32:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Analyze Defect,,4,complete,,Tester6,T3
124,Repair (Simple),SolverS3,1970/01/04 22:51:00.000,1970/01/04 23:11:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Repair (Simple),,,complete,,SolverS3,
124,Inform User,System,1970/01/04 23:09:00.000,1970/01/04 23:09:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Inform User,,,complete,,System,
124,Test Repair,Tester6,1970/01/04 23:11:00.000,1970/01/04 23:20:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Test Repair,true,,complete,1,Tester6,
124,Archive Repair,System,1970/01/04 23:26:00.000,1970/01/04 23:26:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Archive Repair,true,,complete,1,System,
124,End,End,1970/01/04 23:26:00.000,1970/01/04 23:26:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,End,End,End,complete,End,End,End
125,Register,System,1970/01/03 22:37:00.000,1970/01/03 22:37:00.000,Variant 23,23,Fluxicon Disco,Variant 23,23,Register,,,complete,,System,
125,Analyze Defect,Tester2,1970/01/03 22:37:00.000,1970/01/03 22:43:00.000,Variant 23,23,Fluxicon Disco,Variant 23,23,Analyze Defect,,9,complete,,Tester2,T2
125,Repair (Complex),SolverC2,1970/01/03 23:02:00.000,1970/01/03 23:22:00.000,Variant 23,23,Fluxicon Disco,Variant 23,23,Repair (Complex),,,complete,,SolverC2,
125,Test Repair,Tester6,1970/01/03 23:22:00.000,1970/01/03 23:28:00.000,Variant 23,23,Fluxicon Disco,Variant 23,23,Test Repair,false,,complete,0,Tester6,
125,Inform User,System,1970/01/03 23:30:00.000,1970/01/03 23:30:00.000,Variant 23,23,Fluxicon Disco,Variant 23,23,Inform User,,,complete,,System,
125,Restart Repair,System,1970/01/03 23:36:00.000,1970/01/03 23:36:00.000,Variant 23,23,Fluxicon Disco,Variant 23,23,Restart Repair,,,complete,,System,
125,Repair (Complex),SolverC1,1970/01/03 23:36:00.000,1970/01/03 23:53:00.000,Variant 23,23,Fluxicon Disco,Variant 23,23,Repair (Complex),,,complete,,SolverC1,
125,Test Repair,Tester4,1970/01/03 23:53:00.000,1970/01/04 00:00:00.000,Variant 23,23,Fluxicon Disco,Variant 23,23,Test Repair,true,,complete,0,Tester4,
125,Archive Repair,System,1970/01/04 00:10:00.000,1970/01/04 00:10:00.000,Variant 23,23,Fluxicon Disco,Variant 23,23,Archive Repair,true,,complete,0,System,
125,End,End,1970/01/04 00:10:00.000,1970/01/04 00:10:00.000,Variant 23,23,Fluxicon Disco,Variant 23,23,End,End,End,complete,End,End,End
126,Register,System,1970/01/05 01:47:00.000,1970/01/05 01:47:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Register,,,complete,,System,
126,Analyze Defect,Tester2,1970/01/05 01:47:00.000,1970/01/05 01:55:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Analyze Defect,,4,complete,,Tester2,T2
126,Repair (Simple),SolverS1,1970/01/05 02:11:00.000,1970/01/05 02:18:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Repair (Simple),,,complete,,SolverS1,
126,Test Repair,Tester4,1970/01/05 02:18:00.000,1970/01/05 02:27:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Test Repair,false,,complete,1,Tester4,
126,Inform User,System,1970/01/05 02:30:00.000,1970/01/05 02:30:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Inform User,,,complete,,System,
126,Restart Repair,System,1970/01/05 02:34:00.000,1970/01/05 02:34:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Restart Repair,,,complete,,System,
126,Repair (Simple),SolverS1,1970/01/05 02:34:00.000,1970/01/05 02:39:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Repair (Simple),,,complete,,SolverS1,
126,Test Repair,Tester2,1970/01/05 02:39:00.000,1970/01/05 02:44:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Test Repair,false,,complete,2,Tester2,
126,Restart Repair,System,1970/01/05 02:51:00.000,1970/01/05 02:51:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Restart Repair,,,complete,,System,
126,Repair (Simple),SolverS3,1970/01/05 02:51:00.000,1970/01/05 03:08:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Repair (Simple),,,complete,,SolverS3,
126,Test Repair,Tester4,1970/01/05 03:08:00.000,1970/01/05 03:16:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Test Repair,true,,complete,3,Tester4,
126,Archive Repair,System,1970/01/05 03:24:00.000,1970/01/05 03:24:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,Archive Repair,true,,complete,3,System,
126,End,End,1970/01/05 03:24:00.000,1970/01/05 03:24:00.000,Variant 6,6,Fluxicon Disco,Variant 6,6,End,End,End,complete,End,End,End
127,Register,System,1970/01/04 20:34:00.000,1970/01/04 20:34:00.000,Variant 3,3,Fluxicon Disco,Variant 3,3,Register,,,complete,,System,
127,Analyze Defect,Tester6,1970/01/04 20:34:00.000,1970/01/04 20:41:00.000,Variant 3,3,Fluxicon Disco,Variant 3,3,Analyze Defect,,3,complete,,Tester6,T1
127,Repair (Simple),SolverS2,1970/01/04 21:05:00.000,1970/01/04 21:12:00.000,Variant 3,3,Fluxicon Disco,Variant 3,3,Repair (Simple),,,complete,,SolverS2,
127,Test Repair,Tester2,1970/01/04 21:12:00.000,1970/01/04 21:20:00.000,Variant 3,3,Fluxicon Disco,Variant 3,3,Test Repair,true,,complete,1,Tester2,
127,Inform User,System,1970/01/04 21:14:00.000,1970/01/04 21:14:00.000,Variant 3,3,Fluxicon Disco,Variant 3,3,Inform User,,,complete,,System,
127,Archive Repair,System,1970/01/04 21:25:00.000,1970/01/04 21:25:00.000,Variant 3,3,Fluxicon Disco,Variant 3,3,Archive Repair,true,,complete,1,System,
127,End,End,1970/01/04 21:25:00.000,1970/01/04 21:25:00.000,Variant 3,3,Fluxicon Disco,Variant 3,3,End,End,End,complete,End,End,End
128,Register,System,1970/01/04 22:17:00.000,1970/01/04 22:17:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Register,,,complete,,System,
128,Analyze Defect,Tester1,1970/01/04 22:17:00.000,1970/01/04 22:25:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Analyze Defect,,2,complete,,Tester1,T2
128,Repair (Simple),SolverS2,1970/01/04 22:44:00.000,1970/01/04 22:51:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Repair (Simple),,,complete,,SolverS2,
128,Inform User,System,1970/01/04 22:49:00.000,1970/01/04 22:49:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Inform User,,,complete,,System,
128,Test Repair,Tester3,1970/01/04 22:51:00.000,1970/01/04 22:59:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Test Repair,true,,complete,1,Tester3,
128,Archive Repair,System,1970/01/04 23:08:00.000,1970/01/04 23:08:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Archive Repair,true,,complete,1,System,
128,End,End,1970/01/04 23:08:00.000,1970/01/04 23:08:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,End,End,End,complete,End,End,End
129,Register,System,1970/01/04 00:16:00.000,1970/01/04 00:16:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Register,,,complete,,System,
129,Analyze Defect,Tester2,1970/01/04 00:16:00.000,1970/01/04 00:25:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Analyze Defect,,6,complete,,Tester2,T1
129,Repair (Complex),SolverC1,1970/01/04 00:36:00.000,1970/01/04 00:54:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Repair (Complex),,,complete,,SolverC1,
129,Inform User,System,1970/01/04 00:48:00.000,1970/01/04 00:48:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Inform User,,,complete,,System,
129,Test Repair,Tester2,1970/01/04 00:54:00.000,1970/01/04 01:03:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Test Repair,true,,complete,0,Tester2,
129,Archive Repair,System,1970/01/04 01:10:00.000,1970/01/04 01:10:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Archive Repair,true,,complete,0,System,
129,End,End,1970/01/04 01:10:00.000,1970/01/04 01:10:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,End,End,End,complete,End,End,End
13,Register,System,1970/01/01 11:35:00.000,1970/01/01 11:35:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Register,,,complete,,System,
13,Analyze Defect,Tester6,1970/01/01 11:35:00.000,1970/01/01 11:42:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Analyze Defect,,7,complete,,Tester6,T1
13,Repair (Complex),SolverC3,1970/01/01 12:05:00.000,1970/01/01 12:45:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Repair (Complex),,,complete,,SolverC3,
13,Inform User,System,1970/01/01 12:25:00.000,1970/01/01 12:25:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Inform User,,,complete,,System,
13,Test Repair,Tester4,1970/01/01 12:45:00.000,1970/01/01 12:54:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Test Repair,true,,complete,0,Tester4,
13,Archive Repair,System,1970/01/01 13:01:00.000,1970/01/01 13:01:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Archive Repair,true,,complete,0,System,
13,End,End,1970/01/01 13:01:00.000,1970/01/01 13:01:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,End,End,End,complete,End,End,End
130,Register,System,1970/01/04 12:30:00.000,1970/01/04 12:30:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Register,,,complete,,System,
130,Analyze Defect,Tester4,1970/01/04 12:30:00.000,1970/01/04 12:39:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Analyze Defect,,1,complete,,Tester4,T2
130,Repair (Simple),SolverS1,1970/01/04 13:09:00.000,1970/01/04 13:15:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Repair (Simple),,,complete,,SolverS1,
130,Test Repair,Tester5,1970/01/04 13:15:00.000,1970/01/04 13:25:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Test Repair,false,,complete,1,Tester5,
130,Inform User,System,1970/01/04 13:26:00.000,1970/01/04 13:26:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Inform User,,,complete,,System,
130,Restart Repair,System,1970/01/04 13:31:00.000,1970/01/04 13:31:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Restart Repair,,,complete,,System,
130,Repair (Simple),SolverS2,1970/01/04 13:31:00.000,1970/01/04 13:42:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Repair (Simple),,,complete,,SolverS2,
130,Test Repair,Tester2,1970/01/04 13:42:00.000,1970/01/04 13:52:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Test Repair,true,,complete,2,Tester2,
130,Archive Repair,System,1970/01/04 14:02:00.000,1970/01/04 14:02:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Archive Repair,true,,complete,2,System,
130,End,End,1970/01/04 14:02:00.000,1970/01/04 14:02:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,End,End,End,complete,End,End,End
131,Register,System,1970/01/03 20:10:00.000,1970/01/03 20:10:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Register,,,complete,,System,
131,Analyze Defect,Tester4,1970/01/03 20:10:00.000,1970/01/03 20:19:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Analyze Defect,,10,complete,,Tester4,T2
131,Repair (Complex),SolverC3,1970/01/03 20:21:00.000,1970/01/03 21:01:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Repair (Complex),,,complete,,SolverC3,
131,Inform User,System,1970/01/03 20:57:00.000,1970/01/03 20:57:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Inform User,,,complete,,System,
131,Test Repair,Tester5,1970/01/03 21:01:00.000,1970/01/03 21:09:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Test Repair,true,,complete,0,Tester5,
131,Archive Repair,System,1970/01/03 21:19:00.000,1970/01/03 21:19:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Archive Repair,true,,complete,0,System,
131,End,End,1970/01/03 21:19:00.000,1970/01/03 21:19:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,End,End,End,complete,End,End,End
132,Register,System,1970/01/04 17:08:00.000,1970/01/04 17:08:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Register,,,complete,,System,
132,Analyze Defect,Tester2,1970/01/04 17:08:00.000,1970/01/04 17:16:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Analyze Defect,,7,complete,,Tester2,T3
132,Repair (Complex),SolverC1,1970/01/04 17:37:00.000,1970/01/04 17:55:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Repair (Complex),,,complete,,SolverC1,
132,Inform User,System,1970/01/04 17:39:00.000,1970/01/04 17:39:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Inform User,,,complete,,System,
132,Test Repair,Tester1,1970/01/04 17:55:00.000,1970/01/04 18:01:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Test Repair,true,,complete,0,Tester1,
132,Archive Repair,System,1970/01/04 18:07:00.000,1970/01/04 18:07:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Archive Repair,true,,complete,0,System,
132,End,End,1970/01/04 18:07:00.000,1970/01/04 18:07:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,End,End,End,complete,End,End,End
133,Register,System,1970/01/03 23:42:00.000,1970/01/03 23:42:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Register,,,complete,,System,
133,Analyze Defect,Tester4,1970/01/03 23:42:00.000,1970/01/03 23:52:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Analyze Defect,,3,complete,,Tester4,T2
133,Repair (Simple),SolverS2,1970/01/04 00:18:00.000,1970/01/04 00:23:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Repair (Simple),,,complete,,SolverS2,
133,Test Repair,Tester4,1970/01/04 00:23:00.000,1970/01/04 00:30:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Test Repair,false,,complete,1,Tester4,
133,Inform User,System,1970/01/04 00:29:00.000,1970/01/04 00:29:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Inform User,,,complete,,System,
133,Restart Repair,System,1970/01/04 00:37:00.000,1970/01/04 00:37:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Restart Repair,,,complete,,System,
133,Repair (Simple),SolverS2,1970/01/04 00:37:00.000,1970/01/04 00:47:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Repair (Simple),,,complete,,SolverS2,
133,Test Repair,Tester4,1970/01/04 00:47:00.000,1970/01/04 00:57:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Test Repair,true,,complete,2,Tester4,
133,Archive Repair,System,1970/01/04 01:06:00.000,1970/01/04 01:06:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,Archive Repair,true,,complete,2,System,
133,End,End,1970/01/04 01:06:00.000,1970/01/04 01:06:00.000,Variant 7,7,Fluxicon Disco,Variant 7,7,End,End,End,complete,End,End,End
134,Register,System,1970/01/04 13:49:00.000,1970/01/04 13:49:00.000,Variant 17,17,Fluxicon Disco,Variant 17,17,Register,,,complete,,System,
134,Analyze Defect,Tester3,1970/01/04 13:49:00.000,1970/01/04 13:57:00.000,Variant 17,17,Fluxicon Disco,Variant 17,17,Analyze Defect,,4,complete,,Tester3,T3
134,Inform User,System,1970/01/04 14:20:00.000,1970/01/04 14:20:00.000,Variant 17,17,Fluxicon Disco,Variant 17,17,Inform User,,,complete,,System,
134,Repair (Simple),SolverS1,1970/01/04 14:27:00.000,1970/01/04 14:32:00.000,Variant 17,17,Fluxicon Disco,Variant 17,17,Repair (Simple),,,complete,,SolverS1,
134,Test Repair,Tester3,1970/01/04 14:32:00.000,1970/01/04 14:37:00.000,Variant 17,17,Fluxicon Disco,Variant 17,17,Test Repair,false,,complete,1,Tester3,
134,Restart Repair,System,1970/01/04 14:45:00.000,1970/01/04 14:45:00.000,Variant 17,17,Fluxicon Disco,Variant 17,17,Restart Repair,,,complete,,System,
134,Repair (Simple),SolverS2,1970/01/04 14:45:00.000,1970/01/04 14:55:00.000,Variant 17,17,Fluxicon Disco,Variant 17,17,Repair (Simple),,,complete,,SolverS2,
134,Test Repair,Tester5,1970/01/04 14:55:00.000,1970/01/04 15:01:00.000,Variant 17,17,Fluxicon Disco,Variant 17,17,Test Repair,true,,complete,2,Tester5,
134,Archive Repair,System,1970/01/04 15:08:00.000,1970/01/04 15:08:00.000,Variant 17,17,Fluxicon Disco,Variant 17,17,Archive Repair,true,,complete,2,System,
134,End,End,1970/01/04 15:08:00.000,1970/01/04 15:08:00.000,Variant 17,17,Fluxicon Disco,Variant 17,17,End,End,End,complete,End,End,End
135,Register,System,1970/01/05 05:09:00.000,1970/01/05 05:09:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Register,,,complete,,System,
135,Analyze Defect,Tester1,1970/01/05 05:09:00.000,1970/01/05 05:19:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Analyze Defect,,3,complete,,Tester1,T2
135,Repair (Simple),SolverS3,1970/01/05 05:38:00.000,1970/01/05 05:51:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Repair (Simple),,,complete,,SolverS3,
135,Inform User,System,1970/01/05 05:41:00.000,1970/01/05 05:41:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Inform User,,,complete,,System,
135,Test Repair,Tester1,1970/01/05 05:51:00.000,1970/01/05 05:56:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Test Repair,true,,complete,1,Tester1,
135,Archive Repair,System,1970/01/05 06:04:00.000,1970/01/05 06:04:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,Archive Repair,true,,complete,1,System,
135,End,End,1970/01/05 06:04:00.000,1970/01/05 06:04:00.000,Variant 5,5,Fluxicon Disco,Variant 5,5,End,End,End,complete,End,End,End
136,Register,System,1970/01/04 11:28:00.000,1970/01/04 11:28:00.000,Variant 24,24,Fluxicon Disco,Variant 24,24,Register,,,complete,,System,
136,Analyze Defect,Tester2,1970/01/04 11:28:00.000,1970/01/04 11:35:00.000,Variant 24,24,Fluxicon Disco,Variant 24,24,Analyze Defect,,6,complete,,Tester2,T2
136,Repair (Simple),SolverS1,1970/01/04 12:05:00.000,1970/01/04 12:12:00.000,Variant 24,24,Fluxicon Disco,Variant 24,24,Repair (Simple),,,complete,,SolverS1,
136,Test Repair,Tester6,1970/01/04 12:12:00.000,1970/01/04 12:19:00.000,Variant 24,24,Fluxicon Disco,Variant 24,24,Test Repair,false,,complete,1,Tester6,
136,Inform User,System,1970/01/04 12:20:00.000,1970/01/04 12:20:00.000,Variant 24,24,Fluxicon Disco,Variant 24,24,Inform User,,,complete,,System,
136,Restart Repair,System,1970/01/04 12:28:00.000,1970/01/04 12:28:00.000,Variant 24,24,Fluxicon Disco,Variant 24,24,Restart Repair,,,complete,,System,
136,Repair (Complex),SolverC1,1970/01/04 12:28:00.000,1970/01/04 12:44:00.000,Variant 24,24,Fluxicon Disco,Variant 24,24,Repair (Complex),,,complete,,SolverC1,
136,Test Repair,Tester5,1970/01/04 12:44:00.000,1970/01/04 12:50:00.000,Variant 24,24,Fluxicon Disco,Variant 24,24,Test Repair,true,,complete,1,Tester5,
136,Archive Repair,System,1970/01/04 13:00:00.000,1970/01/04 13:00:00.000,Variant 24,24,Fluxicon Disco,Variant 24,24,Archive Repair,true,,complete,1,System,
136,End,End,1970/01/04 13:00:00.000,1970/01/04 13:00:00.000,Variant 24,24,Fluxicon Disco,Variant 24,24,End,End,End,complete,End,End,End
137,Register,System,1970/01/04 08:41:00.000,1970/01/04 08:41:00.000,Variant 25,25,Fluxicon Disco,Variant 25,25,Register,,,complete,,System,
137,Analyze Defect,Tester2,1970/01/04 08:41:00.000,1970/01/04 08:51:00.000,Variant 25,25,Fluxicon Disco,Variant 25,25,Analyze Defect,,1,complete,,Tester2,T3
137,Inform User,System,1970/01/04 09:19:00.000,1970/01/04 09:19:00.000,Variant 25,25,Fluxicon Disco,Variant 25,25,Inform User,,,complete,,System,
137,Repair (Simple),SolverS1,1970/01/04 09:20:00.000,1970/01/04 09:27:00.000,Variant 25,25,Fluxicon Disco,Variant 25,25,Repair (Simple),,,complete,,SolverS1,
137,Test Repair,Tester3,1970/01/04 09:27:00.000,1970/01/04 09:37:00.000,Variant 25,25,Fluxicon Disco,Variant 25,25,Test Repair,false,,complete,1,Tester3,
137,Restart Repair,System,1970/01/04 09:47:00.000,1970/01/04 09:47:00.000,Variant 25,25,Fluxicon Disco,Variant 25,25,Restart Repair,,,complete,,System,
137,Repair (Simple),SolverS1,1970/01/04 09:47:00.000,1970/01/04 09:54:00.000,Variant 25,25,Fluxicon Disco,Variant 25,25,Repair (Simple),,,complete,,SolverS1,
137,Test Repair,Tester1,1970/01/04 09:54:00.000,1970/01/04 10:01:00.000,Variant 25,25,Fluxicon Disco,Variant 25,25,Test Repair,false,,complete,2,Tester1,
137,Restart Repair,System,1970/01/04 10:11:00.000,1970/01/04 10:11:00.000,Variant 25,25,Fluxicon Disco,Variant 25,25,Restart Repair,,,complete,,System,
137,Repair (Simple),SolverS1,1970/01/04 10:11:00.000,1970/01/04 10:17:00.000,Variant 25,25,Fluxicon Disco,Variant 25,25,Repair (Simple),,,complete,,SolverS1,
137,Test Repair,Tester3,1970/01/04 10:17:00.000,1970/01/04 10:24:00.000,Variant 25,25,Fluxicon Disco,Variant 25,25,Test Repair,false,,complete,3,Tester3,
137,Archive Repair,System,1970/01/04 10:32:00.000,1970/01/04 10:32:00.000,Variant 25,25,Fluxicon Disco,Variant 25,25,Archive Repair,false,,complete,3,System,
